CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,BallotsAccepted,BallotsRejected,BallotsCast,Voters,CandidateCounts,ElectedCounts,CandidateMaleCounts,CandidateFemaleCounts,ElectedMaleCounts,ElectedFemaleCounts,BallotsRate
臺中市,,,0,0,78060,435,78495,255203,2,1,2,0,1,0,30.76
臺中市,西區,,0,6,28149,144,28293,89316,2,1,2,0,1,0,31.68
臺中市,中區,,0,6,4447,34,4481,14299,2,1,2,0,1,0,31.34
臺中市,東區,,0,6,19008,115,19123,59617,2,1,2,0,1,0,32.08
臺中市,南區,,0,6,26456,142,26598,91971,2,1,2,0,1,0,28.92
臺中市,西區,三民里,0,6,459,2,461,2079,2,1,2,0,1,0,22.17
臺中市,西區,平和里,0,6,553,2,555,1829,2,1,2,0,1,0,30.34
臺中市,西區,利民里,0,6,428,2,430,1431,2,1,2,0,1,0,30.05
臺中市,西區,公民里,0,6,1492,2,1494,4418,2,1,2,0,1,0,33.82
臺中市,西區,廣民里,0,6,470,3,473,1520,2,1,2,0,1,0,31.12
臺中市,西區,東昇里,0,6,733,6,739,2184,2,1,2,0,1,0,33.84
臺中市,西區,民生里,0,6,521,1,522,1825,2,1,2,0,1,0,28.60
臺中市,西區,藍興里,0,6,1292,11,1303,3681,2,1,2,0,1,0,35.40
臺中市,西區,公舘里,0,6,1827,13,1840,5164,2,1,2,0,1,0,35.63
臺中市,西區,和龍里,0,6,688,2,690,2211,2,1,2,0,1,0,31.21
臺中市,西區,民龍里,0,6,835,5,840,3049,2,1,2,0,1,0,27.55
臺中市,西區,安龍里,0,6,943,9,952,2648,2,1,2,0,1,0,35.95
臺中市,西區,吉龍里,0,6,2086,14,2100,6134,2,1,2,0,1,0,34.24
臺中市,西區,後龍里,0,6,1021,7,1028,3261,2,1,2,0,1,0,31.52
臺中市,西區,土庫里,0,6,1736,8,1744,5193,2,1,2,0,1,0,33.58
臺中市,西區,大忠里,0,6,1330,3,1333,3889,2,1,2,0,1,0,34.28
臺中市,西區,双龍里,0,6,923,5,928,2705,2,1,2,0,1,0,34.31
臺中市,西區,昇平里,0,6,1560,13,1573,5324,2,1,2,0,1,0,29.55
臺中市,西區,中興里,0,6,1215,2,1217,3515,2,1,2,0,1,0,34.62
臺中市,西區,忠明里,0,6,1529,4,1533,5222,2,1,2,0,1,0,29.36
臺中市,西區,公正里,0,6,1612,9,1621,5555,2,1,2,0,1,0,29.18
臺中市,西區,公平里,0,6,1158,6,1164,4449,2,1,2,0,1,0,26.16
臺中市,西區,公德里,0,6,1114,2,1116,3879,2,1,2,0,1,0,28.77
臺中市,西區,公益里,0,6,1013,7,1020,2713,2,1,2,0,1,0,37.60
臺中市,西區,忠誠里,0,6,1611,6,1617,5438,2,1,2,0,1,0,29.74
臺中市,中區,綠川里,0,6,595,3,598,1658,2,1,2,0,1,0,36.07
臺中市,中區,繼光里,0,6,503,4,507,1489,2,1,2,0,1,0,34.05
臺中市,中區,公園里,0,6,406,2,408,1476,2,1,2,0,1,0,27.64
臺中市,中區,光復里,0,6,579,4,583,2023,2,1,2,0,1,0,28.82
臺中市,中區,大墩里,0,6,644,8,652,2085,2,1,2,0,1,0,31.27
臺中市,中區,柳川里,0,6,507,6,513,1768,2,1,2,0,1,0,29.02
臺中市,中區,大誠里,0,6,686,4,690,2116,2,1,2,0,1,0,32.61
臺中市,中區,中華里,0,6,527,3,530,1684,2,1,2,0,1,0,31.47
臺中市,東區,新庄里,0,6,879,6,885,2932,2,1,2,0,1,0,30.18
臺中市,東區,振興里,0,6,1048,7,1055,3075,2,1,2,0,1,0,34.31
臺中市,東區,東橋里,0,6,1104,6,1110,3451,2,1,2,0,1,0,32.16
臺中市,東區,東興里,0,6,950,8,958,2722,2,1,2,0,1,0,35.19
臺中市,東區,泉源里,0,6,553,6,559,1617,2,1,2,0,1,0,34.57
臺中市,東區,干城里,0,6,758,3,761,2304,2,1,2,0,1,0,33.03
臺中市,東區,旱溪里,0,6,863,2,865,2348,2,1,2,0,1,0,36.84
臺中市,東區,樂成里,0,6,602,5,607,2015,2,1,2,0,1,0,30.12
臺中市,東區,東門里,0,6,1920,12,1932,5756,2,1,2,0,1,0,33.56
臺中市,東區,十甲里,0,6,1189,7,1196,3962,2,1,2,0,1,0,30.19
臺中市,東區,東英里,0,6,1850,10,1860,5940,2,1,2,0,1,0,31.31
臺中市,東區,東南里,0,6,1073,4,1077,3504,2,1,2,0,1,0,30.74
臺中市,東區,東勢里,0,6,702,2,704,2557,2,1,2,0,1,0,27.53
臺中市,東區,合作里,0,6,1218,10,1228,3847,2,1,2,0,1,0,31.92
臺中市,東區,富仁里,0,6,1196,8,1204,3940,2,1,2,0,1,0,30.56
臺中市,東區,富台里,0,6,581,6,587,1664,2,1,2,0,1,0,35.28
臺中市,東區,東信里,0,6,2522,13,2535,7983,2,1,2,0,1,0,31.75
臺中市,南區,長春里,0,6,677,3,680,1958,2,1,2,0,1,0,34.73
臺中市,南區,長榮里,0,6,910,3,913,2469,2,1,2,0,1,0,36.98
臺中市,南區,城隍里,0,6,1118,5,1123,3346,2,1,2,0,1,0,33.56
臺中市,南區,國光里,0,6,1229,12,1241,3778,2,1,2,0,1,0,32.85
臺中市,南區,南門里,0,6,1078,4,1082,3344,2,1,2,0,1,0,32.36
臺中市,南區,德義里,0,6,821,4,825,2601,2,1,2,0,1,0,31.72
臺中市,南區,積善里,0,6,786,5,791,2509,2,1,2,0,1,0,31.53
臺中市,南區,江川里,0,6,911,3,914,2654,2,1,2,0,1,0,34.44
臺中市,南區,新榮里,0,6,1006,7,1013,3830,2,1,2,0,1,0,26.45
臺中市,南區,福興里,0,6,1252,5,1257,3553,2,1,2,0,1,0,35.38
臺中市,南區,福平里,0,6,1445,6,1451,4778,2,1,2,0,1,0,30.37
臺中市,南區,福順里,0,6,1465,11,1476,4760,2,1,2,0,1,0,31.01
臺中市,南區,和平里,0,6,815,0,815,3436,2,1,2,0,1,0,23.72
臺中市,南區,平和里,0,6,1035,15,1050,3353,2,1,2,0,1,0,31.32
臺中市,南區,南和里,0,6,1411,3,1414,5809,2,1,2,0,1,0,24.34
臺中市,南區,永興里,0,6,1688,9,1697,6293,2,1,2,0,1,0,26.97
臺中市,南區,永和里,0,6,1047,8,1055,4052,2,1,2,0,1,0,26.04
臺中市,南區,樹義里,0,6,2146,8,2154,8917,2,1,2,0,1,0,24.16
臺中市,南區,工學里,0,6,1388,9,1397,5396,2,1,2,0,1,0,25.89
臺中市,南區,樹德里,0,6,1747,10,1757,6480,2,1,2,0,1,0,27.11
臺中市,南區,西川里,0,6,1066,7,1073,3840,2,1,2,0,1,0,27.94
臺中市,南區,崇倫里,0,6,1415,5,1420,4815,2,1,2,0,1,0,29.49
臺中市,西區,三民里,1,6,216,1,217,1279,2,1,2,0,1,0,16.97
臺中市,西區,三民里,2,6,243,1,244,800,2,1,2,0,1,0,30.50
臺中市,西區,平和里,3,6,263,1,264,961,2,1,2,0,1,0,27.47
臺中市,西區,平和里,4,6,290,1,291,868,2,1,2,0,1,0,33.53
臺中市,西區,利民里,5,6,428,2,430,1431,2,1,2,0,1,0,30.05
臺中市,西區,公民里,6,6,510,0,510,1388,2,1,2,0,1,0,36.74
臺中市,西區,公民里,7,6,486,0,486,1483,2,1,2,0,1,0,32.77
臺中市,西區,公民里,8,6,496,2,498,1547,2,1,2,0,1,0,32.19
臺中市,西區,廣民里,9,6,470,3,473,1520,2,1,2,0,1,0,31.12
臺中市,西區,東昇里,10,6,402,3,405,1161,2,1,2,0,1,0,34.88
臺中市,西區,東昇里,11,6,331,3,334,1023,2,1,2,0,1,0,32.65
臺中市,西區,民生里,12,6,271,0,271,1012,2,1,2,0,1,0,26.78
臺中市,西區,民生里,13,6,250,1,251,813,2,1,2,0,1,0,30.87
臺中市,西區,藍興里,14,6,449,3,452,1186,2,1,2,0,1,0,38.11
臺中市,西區,藍興里,15,6,498,5,503,1413,2,1,2,0,1,0,35.60
臺中市,西區,藍興里,16,6,345,3,348,1082,2,1,2,0,1,0,32.16
臺中市,西區,公舘里,17,6,525,3,528,1400,2,1,2,0,1,0,37.71
臺中市,西區,公舘里,18,6,468,3,471,1221,2,1,2,0,1,0,38.57
臺中市,西區,公舘里,19,6,380,3,383,1365,2,1,2,0,1,0,28.06
臺中市,西區,公舘里,20,6,454,4,458,1178,2,1,2,0,1,0,38.88
臺中市,西區,和龍里,21,6,322,1,323,1067,2,1,2,0,1,0,30.27
臺中市,西區,和龍里,22,6,366,1,367,1144,2,1,2,0,1,0,32.08
臺中市,西區,民龍里,23,6,501,4,505,1819,2,1,2,0,1,0,27.76
臺中市,西區,民龍里,24,6,334,1,335,1230,2,1,2,0,1,0,27.24
臺中市,西區,安龍里,25,6,506,3,509,1337,2,1,2,0,1,0,38.07
臺中市,西區,安龍里,26,6,437,6,443,1311,2,1,2,0,1,0,33.79
臺中市,西區,吉龍里,27,6,514,2,516,1430,2,1,2,0,1,0,36.08
臺中市,西區,吉龍里,28,6,544,11,555,1458,2,1,2,0,1,0,38.07
臺中市,西區,吉龍里,29,6,460,0,460,1557,2,1,2,0,1,0,29.54
臺中市,西區,吉龍里,30,6,568,1,569,1689,2,1,2,0,1,0,33.69
臺中市,西區,後龍里,31,6,460,4,464,1479,2,1,2,0,1,0,31.37
臺中市,西區,後龍里,32,6,561,3,564,1782,2,1,2,0,1,0,31.65
臺中市,西區,土庫里,33,6,557,2,559,1815,2,1,2,0,1,0,30.80
臺中市,西區,土庫里,34,6,665,4,669,1811,2,1,2,0,1,0,36.94
臺中市,西區,土庫里,35,6,514,2,516,1567,2,1,2,0,1,0,32.93
臺中市,西區,大忠里,36,6,322,1,323,1010,2,1,2,0,1,0,31.98
臺中市,西區,大忠里,37,6,518,2,520,1623,2,1,2,0,1,0,32.04
臺中市,西區,大忠里,38,6,490,0,490,1256,2,1,2,0,1,0,39.01
臺中市,西區,双龍里,39,6,445,2,447,1269,2,1,2,0,1,0,35.22
臺中市,西區,双龍里,40,6,478,3,481,1436,2,1,2,0,1,0,33.50
臺中市,西區,昇平里,41,6,300,2,302,1228,2,1,2,0,1,0,24.59
臺中市,西區,昇平里,42,6,403,6,409,1388,2,1,2,0,1,0,29.47
臺中市,西區,昇平里,43,6,396,1,397,1352,2,1,2,0,1,0,29.36
臺中市,西區,昇平里,44,6,461,4,465,1356,2,1,2,0,1,0,34.29
臺中市,西區,中興里,45,6,563,1,564,1775,2,1,2,0,1,0,31.77
