CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
苗栗縣,,,0,2,1,32966,40.74,吳宜臻,民主進步黨,2,N,
苗栗縣,,,0,2,2,47105,58.21,徐志榮,中國國民黨,1,N,T
苗栗縣,,,0,2,3,851,1.05,陳淑芬,無,2,N,
苗栗縣,頭份鎮,,0,2,1,10127,45.14,吳宜臻,民主進步黨,2,N,
苗栗縣,頭份鎮,,0,2,2,12046,53.69,徐志榮,中國國民黨,1,N,T
苗栗縣,頭份鎮,,0,2,3,262,1.17,陳淑芬,無,2,N,
苗栗縣,頭份鎮,流東里,0,2,1,281,45.77,吳宜臻,民主進步黨,2,N,
苗栗縣,頭份鎮,流東里,0,2,2,330,53.75,徐志榮,中國國民黨,1,N,T
苗栗縣,頭份鎮,流東里,0,2,3,3,0.49,陳淑芬,無,2,N,
苗栗縣,頭份鎮,流東里,1,2,1,136,48.57,吳宜臻,民主進步黨,2,N,
苗栗縣,頭份鎮,流東里,1,2,2,142,50.71,徐志榮,中國國民黨,1,N,T
苗栗縣,頭份鎮,流東里,1,2,3,2,0.71,陳淑芬,無,2,N,
苗栗縣,頭份鎮,流東里,2,2,1,145,43.41,吳宜臻,民主進步黨,2,N,
苗栗縣,頭份鎮,流東里,2,2,2,188,56.29,徐志榮,中國國民黨,1,N,T
苗栗縣,頭份鎮,流東里,2,2,3,1,0.30,陳淑芬,無,2,N,
苗栗縣,頭份鎮,珊湖里,0,2,1,249,39.09,吳宜臻,民主進步黨,2,N,
苗栗縣,頭份鎮,珊湖里,0,2,2,382,59.97,徐志榮,中國國民黨,1,N,T
苗栗縣,頭份鎮,珊湖里,0,2,3,6,0.94,陳淑芬,無,2,N,
苗栗縣,頭份鎮,珊湖里,3,2,1,105,32.31,吳宜臻,民主進步黨,2,N,
苗栗縣,頭份鎮,珊湖里,3,2,2,217,66.77,徐志榮,中國國民黨,1,N,T
苗栗縣,頭份鎮,珊湖里,3,2,3,3,0.92,陳淑芬,無,2,N,
苗栗縣,頭份鎮,珊湖里,4,2,1,144,46.15,吳宜臻,民主進步黨,2,N,
苗栗縣,頭份鎮,珊湖里,4,2,2,165,52.88,徐志榮,中國國民黨,1,N,T
苗栗縣,頭份鎮,珊湖里,4,2,3,3,0.96,陳淑芬,無,2,N,
苗栗縣,頭份鎮,斗煥里,0,2,1,432,45.76,吳宜臻,民主進步黨,2,N,
苗栗縣,頭份鎮,斗煥里,0,2,2,491,52.01,徐志榮,中國國民黨,1,N,T
苗栗縣,頭份鎮,斗煥里,0,2,3,21,2.22,陳淑芬,無,2,N,
苗栗縣,頭份鎮,斗煥里,5,2,1,171,48.03,吳宜臻,民主進步黨,2,N,
苗栗縣,頭份鎮,斗煥里,5,2,2,180,50.56,徐志榮,中國國民黨,1,N,T
苗栗縣,頭份鎮,斗煥里,5,2,3,5,1.40,陳淑芬,無,2,N,
苗栗縣,頭份鎮,斗煥里,6,2,1,120,40.00,吳宜臻,民主進步黨,2,N,
